"expediente","tipo","objeto","estado","importe","fechas","url"
"859AJ.21","Servicios","requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 859.21, para la entrega de una pluralidad de servicios de forma sucesiva y por precio unitario de las categorías especificadas en el Anexo I sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Evaluación","30.000,00","Present. Oferta:06/09/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=VuK9VaJ%2FUrIUqXM96WStVA%3D%3D"
"967.23","Servicios","Servicio de mantenimiento de las instalaciones de protección contra incendios de los edificios de la Universidad de Almería","Evaluación","87.799,00","Present. Oferta:17/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=tvGsX8JgVyMS7pcxhTeWOg%3D%3D"
"968.23","Suministros","Suministro, montaje e instalación de mesas de estudio para LA REMODELACION DEL CAE (SALAS DE ESTUDIO), dentro del Campus de la Universidad de Almería","Resuelta","37.500,00","Publicación PLACSP:
Adjudicación:05/07/2023
Formalización:05/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=uYHe3MEcgOMl5NjlNci%2BtA%3D%3D"
"961.23","Servicios","Prestación de servicios de transporte de la comunidad universitaria o personas relacionadas con las actividades de la Universidad de Almería","Resuelta","63.000,00","Publicación PLACSP:
Adjudicación:28/06/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=z4I7G0K20eLpxJFXpLZ%2B2A%3D%3D"
"964.23","Suministros","Suministro del equipamiento y licencias necesarios para mejorar la Seguridad de la Red de Comunicaciones de Voz y Datos de la Universidad de Almería","Evaluación","473.172,89","Present. Oferta:28/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=iEB7nNMW7DxeKgd8LfVV9g%3D%3D"
"962.23","Servicios","Servicio 24x7 de detección, evaluación, notificación y corrección de vulnerabilidades sobre los servicios TIC de la UAL","Evaluación","29.119,98","Present. Oferta:21/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=WulYZGeNDy4tm4eBPtV6eQ%3D%3D"
"957.23","Servicios","Contratación de la licencia de uso de un carro de compra donde ubicar los diferentes productos y servicios de los sistemas dinámicos de adquisición de la Universidad de Almería","Evaluación","23.000,00","Present. Oferta:07/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=28xhFZZrOJDmnwcj%2BxbdTg%3D%3D"
"859AI.21","Servicios","Requerimiento de catálogos para la posterior selección de acreditaciones de idiomas basado en el Contrato derivado del SDA con referencia 859.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 8 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Evaluación","0,00","Present. Oferta:15/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2BEwa6ry9QpSP%2Bo96UAV7cQ%3D%3D"
"859AH.21","Servicios","Requerimiento de catálogos para la posterior selección de productos basado en el Contrato derivado del SDA con referencia 859.21, para la entrega de una pluralidad de bienes de forma sucesiva y por precio unitario de la categoría 8 sin que la cuantía total quede definida, por estar subordinadas las entregas a las necesidades de la Universidad de Almería","Evaluación","0,00","Present. Oferta:15/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=QUanBXTGZ7GFQ%2FlhRK79lA%3D%3D"
"946B.23","Suministros","Contratación de la licencia de uso de la Herramienta Wooclap, para la plataforma de docencia virtual Blackboard","Resuelta","35.101,35","Publicación PLACSP:
Adjudicación:18/05/2023
Formalización:22/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=yDUk1C4VcMadkQsA7ROvsg%3D%3D"
"960.23","Suministros","Suministro de una licencia de software específico para bibliotecas destinado a la elaboración de guías temáticas","Resuelta","11.000,00","Publicación PLACSP:
Adjudicación:30/06/2023
Formalización:03/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2B6%2B73%2BcTrr7CfVQHDepjGQ%3D%3D"
"959.23","Suministros","Contratación de la licencia de uso de la aplicación “BRÚJULA” para la gestión y publicación de datos de investigación","Resuelta","2.000,00","Publicación PLACSP:
Adjudicación:11/05/2023
Formalización:18/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=RO7N94sHi5f9pbnDwlaUlg%3D%3D"
"958.23","Suministros","Suministro, incluido el transporte, montaje e instalación de equipos de climatización y ventilación, y la ejecución de la obra correspondiente para su instalación en el Centro de Atención al Estudiante (CAE) de la Universidad de Almería","Resuelta","332.279,50","Publicación PLACSP:
Adjudicación:27/07/2023
Formalización:13/09/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=N75D%2BJeABS%2BiEJrVRqloyA%3D%3D"
"949.23","Servicios","Contratación del mantenimiento del Sistema de Autopréstamo de Portátiles de la BUAL ","Resuelta","2.200,00","Publicación PLACSP:
Adjudicación:08/05/2023
Formalización:18/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=9yNqAalmLHISugstABGr5A%3D%3D"
"953.23","Servicios","Contratación de los servicios de almacenamiento en AWS, soporte técnico y asesoramiento para su utilización","Resuelta","30.000,00","Publicación PLACSP:
Adjudicación:31/05/2023
Formalización:02/06/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=dHwJJMvLJ2cSugstABGr5A%3D%3D"
"940B.23","Servicios","Prestación del servicio de póliza de seguro de responsabilidad de autoridades y personal al servicio de la Universidad de Almería","Resuelta","6.000,00","Publicación PLACSP:
Adjudicación:16/05/2023
Formalización:17/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=92ovH2QY4WJvYnTkQN0%2FZA%3D%3D"
"956.23","Suministros","Adquisición de la Licencia Campus Mathematica","Resuelta","103.272,00","Publicación PLACSP:
Adjudicación:26/04/2023
Formalización:28/04/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YIr1xxhqrlqiEJrVRqloyA%3D%3D"
"955.23","Servicios","Prestación de servicios para el programa Study Abroad de la Universidad de Almería en 2023","Resuelta","124.520,00","Publicación PLACSP:
Adjudicación:04/05/2023
Formalización:31/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=t85WsNSgNPEBPRBxZ4nJ%2Fg%3D%3D"
"954.23","Suministros","Suministro de CO2 licuado en el depósito propiedad de Linde Gas España instalado en la UAL, así como la televigilancia del mismo y el mantenimiento del depósito y del resto de instalaciones afectadas","Resuelta","8.000,00","Publicación PLACSP:
Adjudicación:26/04/2023
Formalización:03/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=H3b%2Bw5%2FLpS6rz3GQd5r6SQ%3D%3D"
"859AG","Servicios","Contratación del servicio de mantenimiento a todo riesgo de los ascensores instalados en la Universidad de Almería.
Esta licitación está basada en el SDA 859.21 y se tramita por procedimiento restringido con las empresas adheridas en la categoría 7","Resuelta","36.960,00","Publicación PLACSP:
Adjudicación:28/06/2023
Formalización:04/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=t0OVMgLLlBXnSoTX3z%2F7wA%3D%3D"
"950.23","Suministros","Suministro de Nitrógeno licuado en los dos depósitos propiedad de Linde Gas España instalados en la UAL, así como la televigilancia de los mismos y el mantenimiento de ambos depósitos y del resto de instalaciones afectadas a los mismos","Resuelta","15.702,50","Publicación PLACSP:
Adjudicación:26/04/2023
Formalización:03/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=4nb2c4nFsu2XQV0WE7lYPw%3D%3D"
"952.23","Suministros","Suministro, montaje e instalación de mobiliario para LA REMODELACION DEL CAE (SALAS DE ESTUDIO) dentro del Campus de la Universidad de Almería","Resuelta","61.500,00","Publicación PLACSP:
Adjudicación:24/07/2023
Formalización:26/07/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=AqfXH0DLsoKmq21uxhbaVQ%3D%3D"
"951.23","Suministros","Suministro, montaje e instalación de mobiliario para el nuevo EDIFICIO DE DEPORTES, dentro del Campus de la Universidad de Almería","Parcialmente Resuelta","60.300,00","Publicación PLACSP:
Adjudicación:21/06/2023
Formalización:28/06/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=vLeyexYov3cSugstABGr5A%3D%3D"
"948.23","Servicios","Prestación del servicio de Agencia de Viajes de la Universidad de Almería","Resuelta","500.000,00","Publicación PLACSP:
Adjudicación:07/07/2023
Formalización:05/09/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SZ53sdppNtPnSoTX3z%2F7wA%3D%3D"
"946.23","Suministros","Contratación de la licencia de uso de la Herramienta Wooclap, para la plataforma de docencia virtual Blackboard","Evaluación","35.101,35","Present. Oferta:16/05/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=M5Rbi6eC8fGXQV0WE7lYPw%3D%3D"
"944.23","Servicios","Servicios de auditoría de las cuentas anuales de la Universidad de Almería y de las de la Fundación Universidad de Almería, y Fundación UAL-ANECOOP y servicio de auditoría para la justificación de proyectos de investigación, cooperación internacional, subvenciones y otras ayudas concedidas a la Universidad de Almería","Evaluación","126.900,00","Present. Oferta:22/06/2023
","https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=tnQFDD2sr65vYnTkQN0%2FZA%3D%3D"
