clausula,etiqueta
"PRIMERO: La Propietaria alquila a El Inquilino un local comercial en la Av. Abraham Lincoln No. 15, Santo Domingo. El local será usado para actividades comerciales, pero la propietaria se reserva el derecho de cambiar su uso sin previo aviso.",1
"SEGUNDO: El Inquilino acepta hacerse responsable de cualquier multa impuesta por el incumplimiento de regulaciones que sean ajenas a su operación, lo que es un abuso contractual.",1
"TERCERO: El contrato se prorroga automáticamente cada año con un aumento de 25% en el alquiler, sin opción de renegociación.",1
CUARTO: El inquilino debe asumir el pago de impuestos que legalmente corresponden a la propietaria.,1
"QUINTO: En caso de cualquier disputa, La Propietaria tiene el derecho exclusivo de elegir el juez o tribunal que resolverá el conflicto, lo cual viola los principios de imparcialidad.",1
"SEXTO: El depósito de RD$20,000.00 no podrá ser utilizado para cubrir alquileres pendientes ni será devuelto si el inquilino decide no renovar.",1
"SÉPTIMO: Este contrato se firma en una sola copia, en poder exclusivo de La Propietaria, lo que impide al inquilino demostrar su existencia en caso de conflicto.",1
"RIMERO: La Propietaria cede en alquiler a El Inquilino un local comercial ubicado en la Av. John F. Kennedy No. 33, Santo Domingo. Sin embargo, el contrato no especifica el metraje del local ni sus condiciones estructurales, generando ambigüedad.",1
"SEGUNDO: El Inquilino deberá pagar el alquiler en dólares estadounidenses, aunque no se menciona una tasa de cambio oficial, lo que puede generar arbitrariedad en los pagos.",1
"TERCERO: En caso de daños en el local, El Inquilino deberá pagar la reparación, incluso si el daño fue causado por defectos de construcción o falta de mantenimiento previo, lo cual es ilegal.",1
"CUARTO: La Propietaria tendrá acceso al local en cualquier momento y sin previo aviso, lo que vulnera el derecho a la privacidad del Inquilino.",1
"QUINTO: Si El Inquilino no paga el alquiler por un mes, perderá automáticamente todas las mejoras y bienes que haya instalado en el local, sin derecho a reembolso o compensación.",1
"SEXTO: La duración del contrato será de 15 años sin posibilidad de terminación anticipada por parte del Inquilino, mientras que La Propietaria podrá rescindir el contrato en cualquier momento con un aviso de solo 10 días.",1
"SÉPTIMO: Las partes acuerdan que cualquier conflicto será resuelto únicamente por un árbitro designado por La Propietaria, sin opción de apelación.",1
"POR CUANTO: La señora Carla Estévez Herrera es propietaria del inmueble identificado como 9876543210, con una superficie de 500.00 metros cuadrados, matrícula No. 987654321, ubicado en Santiago. Según consta en el Certificado de Título registrado en el Libro 150, Folio 75, expedido el 10 de enero del 2024 por el Registro de Títulos de Santiago.",0
"POR CUANTO: La señora Carla Estévez Herrera ha consentido en gravar dicho inmueble con una hipoteca en primer rango a favor de FINANCIERA DOMINICANA, S.R.L.",0
"POR TANTO: La señora Carla Estévez Herrera se obliga con FINANCIERA DOMINICANA, S.R.L. al pago de la suma de RD$3,200,000.00 (Tres millones doscientos mil pesos dominicanos), con un interés del 1.7% mensual, a pagar en el plazo de tres (3) años.",0
"OBJETO. EL VENDEDOR, por medio de este Contrato, VENDE, CEDE Y TRASPASA, desde hoy y para siempre, sin impedimento alguno, libre de cargas y gravámenes y con todas las garantías de derecho, a favor de EL COMPRADOR, quien acepta, el Vehículo que se describe a continuación (en lo adelante, el “Vehículo”): “Un Vehículo de motor tipo SEDÁN PRIVADO, marca TOYOTA, modelo COROLLA, fabricado en el año 2018, color NEGRO, motor No. 4A9-56789, de 5 pasajeros, fuerza motriz GASOLINA, 4 cilindros.- Amparado por el Certificado de Propiedad de Vehículos de Motor No. 0123456789, expedido por la Dirección General de Impuestos Internos (DGII), inscrito bajo el No. de Registro y Placa A123456, Chasis ABCD12345678”.",0
"PRECIO. El precio acordado entre LAS PARTES para la venta del Vehículo asciende a la suma de QUINIENTOS MIL PESOS DOMINICANOS (RD$500,000.00), cantidad que ha sido pagada en su totalidad por EL COMPRADOR a EL VENDEDOR en el momento de suscribirse el presente Contrato. En consecuencia, EL VENDEDOR otorga en favor de EL COMPRADOR formal e irrevocable recibo de descargo total y definitivo, carta de pago y finiquito por el precio de venta convenido, así como la matrícula del Vehículo debidamente endosada, y cualquier otra documentación requerida por las autoridades para el traspaso. De igual manera, EL VENDEDOR autoriza al Director General de Impuestos Internos o a la Colecturía correspondiente a ejecutar la transferencia o traspaso en propiedad del Vehículo en favor de EL COMPRADOR, sin impedimento alguno, ni limitación.",0
AUTORIZACIÓN DE TRASPASO. La primera parte autoriza a la segunda parte a efectuar el traspaso en su favor de la matrícula original antes indicada por ante las autoridades correspondientes (Dirección General de Impuestos Internos).,0
"HECHO Y FIRMADO en dos (2) originales de un mismo tenor y efecto jurídico en la ciudad de Santo Domingo, Distrito Nacional, Capital de la República Dominicana, el día diez (10) del mes de Febrero del año Dos Mil Veinticuatro (2024).",0
